review_id,star_rating,helpful_votes,total_votes,vine,verified_purchase
ROI00QN8IS49I,5,83,91,N,
R13C5INE1RTZP6,2,26,26,N,
RXVMMXCL67MZN,4,378,383,N,
R33JJQWAUYBKD3,5,270,280,N,
R31HQD6YXSQV1W,3,40,48,N,
R33LQSF958O6K8,5,39,41,N,
R3OIDSQJ84W7J1,5,21,24,N,
RODE8K12S7148,5,41,45,N,
R2QZFYFUKP22SP,5,33,37,N,
RFON10GAZKDL3,3,16,20,N,
R2UXKAUFMPE0PJ,1,29,29,N,
R20YYYGIRVB7F1,1,32,41,N,
R36065K853ACRA,3,28,34,N,
RBS6RYHXL83L8,5,49,57,N,
R2D5JAVXATJOQB,4,45,48,N,
R1SUS9Y51N3QO8,1,42,46,N,
R3DKDS7674IU4Z,5,29,31,N,
R3VER1GSR74AHB,4,38,39,N,
R4KKILPJRQ2J5,1,12,20,N,
RE1XO71W5US5S,1,28,30,N,
RECSA7H2J0LGP,5,18,21,N,
R1TZIPI8WF90ZL,1,13,20,N,
R5CBPJP8P2ANG,5,28,29,N,
R28XLA4DFKQAHO,5,74,76,N,
R2VF1BGM0N55SN,5,20,23,N,
R36GHJOF7ITVG1,1,52,60,N,
R15ZBBYIBKL8J3,1,14,21,N,
R3K9UAML0UU6OX,1,19,22,N,
R3SH2X0MTOW0ME,5,28,31,N,
RT1UV0BHJ2SEP,1,48,52,N,
R3KK2BMCZN6OQY,1,29,36,N,
R17FN9HY9UOHM7,5,171,177,N,
RP37SYMLUA7Y1,5,25,29,N,
R1K1PH176UX5BU,5,80,84,N,
R3KS6GS4GU4035,5,22,23,N,
R10PKU5EPYECDY,5,35,37,N,
R1U4XG8AF8XIMZ,5,37,38,N,
R298ELUVYKRHXG,3,68,68,N,
R170CR4IM60JI3,4,20,24,N,
R3EZJ4AN0CJXZ2,5,37,39,N,
R1O1JUSK2HQDOI,1,27,30,N,
R30XPRGHNONBP,5,23,25,N,
R1P47PDRLSWV54,5,59,59,N,
R305NZK084ZGV8,5,37,39,N,
R3QDVMATBLVV5L,5,25,27,N,
R23USAPT8TOB0T,1,44,44,N,
RVKUHT8HUV9R4,2,119,126,N,
R3QZYAZK96376A,4,29,32,N,
R7ZQG1VZWOWLH,3,71,73,N,
RRVZ0KGPJNB2D,1,38,44,N,
R3V8GTMD9J8NOV,1,22,22,N,
R1NYUGUZ2MI6Q0,5,25,30,N,
R1WWLBKTAG1IFI,5,23,25,N,
RFFNVUBXNQI8N,5,21,25,N,
R2J1E0VOIFG4VL,1,41,45,N,
R22WN3JHH0NVYA,5,51,58,N,
R3AQAW2G5CDESB,5,97,102,N,
R2P2FA2E2WVAAX,5,57,59,N,
R3RMY5F2ZHEA62,1,28,40,N,
R31C486BKFJJCY,5,30,30,N,
RMP6KUF3DWDJH,2,33,39,N,
R3IG68H92IEF15,3,42,42,N,
R1XHG6T20ITGKY,5,33,37,N,
RM5LL4S06ML31,2,22,23,N,
R1P5HP9POXXCFS,5,31,35,N,
R2OJINQIYCC5BQ,5,33,34,N,
R1JDAIY2LTWLZZ,5,26,27,N,
R3VRZ6S7AXEKGJ,5,71,85,N,
R2SJ5TMRFOG0H0,5,28,30,N,
R3GOWVHONEBMN3,5,29,38,N,
R33SONZ7FXUKP3,1,23,23,N,
R2HP75SU2FDOI6,5,35,37,N,
R27GAYLHADC9EU,5,122,126,N,
RJNQO73IQ9NKC,5,24,25,N,
R32VC0JGB37WEG,5,35,37,N,
R2S4QOHWIFLOHA,3,23,28,N,
R17EUJO3YNDQGL,1,62,74,N,
R1NY0VDA2848KX,5,59,64,N,
R1YZSBDR4DMRVK,5,63,67,N,
R158S7TITIJCVY,2,17,20,N,
R2WTCZVPX7BRL5,5,45,49,N,
R3LBRCL06RK6OZ,5,32,36,N,
RYOHAOABQFNCD,5,14,20,N,
RS3MFLOUCE6SJ,1,38,49,N,
RYXKPT6JDDV4,5,21,24,N,
R2FVKAW06E799J,5,38,45,N,
RD17V182UWJLT,5,20,22,N,
R23QAM8URVMZMT,5,33,34,N,
R1PSTG8S85Q7P3,1,19,24,N,
R2YJ63VDBFSEZG,5,32,33,N,
R2CIM3K2XFCPS1,5,25,28,N,
RVXGOPZPMWBIU,5,30,33,N,
R1PDXKRFXWO13M,3,30,31,N,
R2C1PCY8XNGQZI,1,27,27,N,
R42JJ017ULGVR,5,27,28,N,
ROE6K4MP5RMAY,5,22,24,N,
R3DLG6XZK67MGB,3,319,350,N,
R35GW13XED5NA8,5,30,38,N,
R30D9C8BAFYIPN,5,38,42,N,
RMWU3Q8SHEVS7,1,126,138,N,
R3C1UPA1GYEO05,5,17,20,N,
RD801VKPBAVWQ,5,21,23,N,
R2047W65YR6KLP,1,20,24,N,
R12S92FAXVAFXS,5,22,27,N,
RIHRBHPYDFHGK,5,30,31,N,
RREJY2DUDN870,5,44,45,N,
R1QZV6W6ZZGAEQ,3,48,50,N,
R3QNOWV70H27AT,5,165,169,N,
RZ4FRJNCGHZ37,5,43,49,N,
R24CF1159Q14PO,1,34,46,N,
R28ER1H5IG1A4A,4,25,25,N,
R3JLXGAA5SH1NU,5,30,31,N,
R21Z06LI8DOCW7,5,33,33,N,
R2UNOYY4YC3URO,1,31,34,N,
R2VDEVG14P957A,1,45,51,N,
RYSU6I9UZ3HTG,5,258,263,N,
R2XM8Q811UCAE6,4,21,25,N,
R12FM8HGDTT0LP,5,43,50,N,
R3I5PPDBEBETQM,5,23,25,N,
R2QIO6D7LDGQHB,3,21,27,N,
R2TDCU72IHV0F5,1,212,239,N,
R1N8HWE4W4KF0F,5,89,93,N,
R3HBNF1R0ICHB,5,24,27,N,
RJ9GPSIKIFLR0,1,23,24,N,
R21X46H5T1YT8V,4,75,75,N,
R2MZL4BEGPK75A,4,18,20,N,
R6PXBBR45D67Z,1,15,21,N,
R4V3AHWHL8TJB,5,33,33,N,
R1Z5SUSE9IKUQ2,5,17,20,N,
R3CFJAYLUWX66Q,5,20,20,N,
R3J73FC7B96GPD,5,16,21,N,
RTZV7RFTMONPK,5,71,78,N,
R3E0CQ5EAEHEEC,5,59,62,N,
R1GWWC21NRPBKI,4,17,22,N,
R1ZT0QH2RF74XY,4,47,50,N,
RHUCED07NL9U8,5,69,70,N,
R2Y6EMD88DW8MW,3,103,108,N,
R1D51XP54RPPSQ,5,20,20,N,
R3PM369BY5YWVH,1,46,53,N,
R2VSHQXOTR93IF,5,47,49,N,
R11BV1GSNEDEY,5,33,33,N,
RWT89LD9511PQ,5,40,41,N,
R1ORB6WVMEDN9K,5,59,63,N,
R2NHUC0DKKAG4I,5,21,27,N,
R39PRJ9TPIVN3K,5,21,25,N,
RIFUTKUO9SH91,5,21,21,N,
R2TMLS9F65R9LJ,4,20,20,N,
R2YG24FUOC4T1D,5,46,46,N,
R1T0W92VRO55LE,5,23,25,N,
R3VPXE3DMG3DRD,3,22,23,N,
ROHXC3JE8WGAW,5,228,242,N,
R3OMSF4SQPF0JW,2,22,23,N,
R1NYOMJ9P8ENRG,5,26,28,N,
R1YAELLHQHA80V,1,21,21,N,
R20OSW83XJTT06,5,27,29,N,
RKIZVRSZE8XD4,5,39,44,N,
R1OP9KFXN59ZLC,5,77,81,N,
RBEKOC7E6D1TZ,4,21,24,N,
R37Q0ES3RHN2MY,2,22,24,N,
R2AEIIY9PFOPAG,1,19,20,N,
R23DPJGZBL3WPD,5,48,56,N,
R296EJ7BBHV170,1,26,28,N,
R1I3TIS093I950,2,92,101,N,
R30GVIZVSPDOQD,3,115,119,N,
R1OJ1QG9XVAQF4,5,59,69,N,
R3R8NOZXMG9E9Y,5,110,114,N,
R3G6I2ND9KF2WF,1,40,51,N,
R44AEXXK190A,2,114,140,N,
R3LTPRFRE46MZK,2,27,28,N,
RUAY1AOL5BST1,5,43,45,N,
R2G4XRTFG94JUG,3,51,55,N,
R2ADU6L5TQ2DS6,1,25,26,N,
RMV71H1O1XU5V,4,36,36,N,
RMYKHAD2MRAKF,5,38,40,N,
R2M3Z4ZC2DEMG8,1,25,27,N,
R1SZTMTJTU1057,5,24,26,N,
RGD1II4NM4FB4,5,28,35,N,
R2U63P4NRY98RI,5,50,58,N,
RF1PB232QSO5K,5,36,38,N,
R1H6RJDMSS6KIQ,5,35,36,N,
R200T2YYGXF0OM,5,20,20,N,
RQSTHLVBYH8MB,3,27,29,N,
R3IQZNQTVZTK5A,1,105,113,N,
ROKEKRG08U3N2,5,46,51,N,
RS5HO0TIC5YYF,3,21,26,N,
R36JDFJDDQT70Q,3,19,26,N,
R14NJYT59OT2OD,5,36,37,N,
R2HRI0ONKFV052,5,30,38,N,
RA4A97CRQQVPC,1,38,43,N,
R360LJBRV1SG90,1,251,278,N,
R2TR52NR45B47,5,96,100,N,
R1MAKU4NLUWP06,5,32,35,N,
R3ASA0FSOLZ8IJ,4,30,30,N,
R1YSGR5HNMUHDM,1,51,54,N,
R2BDI5MJRWU7G9,5,429,452,N,
R3DHAWRGK3THIX,5,17,21,N,
R2OKZHJGX6MYB4,5,18,20,N,
R2V1LT347R0P66,5,126,127,N,
R22YZS76VJ0ZZZ,1,74,105,N,
R270SURPEF341,5,57,59,N,
RVEFRJ4MY95L5,5,23,23,N,
R3OMXBV1MTDVLO,5,17,21,N,
R3UL6OMM75NJ41,5,23,26,N,
R7YG0VOPJ0JK8,5,84,91,N,
R2VRT8XBGW4PSE,5,24,24,N,
R25HDABZWHF5P,5,35,35,N,
RI1TC4CIK9DN4,5,26,26,N,
R344XPM6X5RQ16,1,24,25,N,
R2YD97OGYCPV9V,5,31,33,N,
R1E6KKVPG3GR3J,4,27,27,N,
R14CA0B0O4320J,1,19,21,N,
R3ANHQ374SJE39,2,19,22,N,
R2MNXUGYHV15YA,3,19,21,N,
R3G56MS9NB1TLN,1,11,21,N,
R21RM5TWGWF0JG,5,19,22,N,
RY4XWKBIVAYN3,5,21,23,N,
R1887GYS6GEWWV,5,27,27,N,
R2ZDN5GRN1C6YC,1,22,22,N,
R3EUVZEYYDKRX5,5,23,26,N,
RST2NI12KRI4R,5,27,28,N,
R2OP034YEABGTK,5,119,140,N,
R1CFXB6K27JRRH,5,20,20,N,
R3L8H46RF5TO30,5,18,20,N,
R12U3KKM4R6SQT,1,18,24,N,
R24FNOPUL9WOP0,5,35,39,N,
RYIUNAY9JOKZE,5,239,262,N,
RJ9H2IA6JJ95L,5,37,38,N,
R2J1OIZV2L0D7T,5,22,22,N,
R2B01FFDFYYHND,5,28,32,N,
R11QPZUR674ZU8,5,39,41,N,
R2NK9D9C6X4QE1,1,189,248,N,
R11VKWMK2PHKS1,4,34,36,N,
R39LBPVSFIA6R,5,22,28,N,
RG1U9WRH72V0T,4,602,628,N,
R3OX4ZUQA2QJOK,5,19,25,N,
RPMNLURJ22IXW,1,108,119,N,
R3IB2G53NJ15IM,3,22,26,N,
R1LMIMLY5U8G8N,4,20,24,N,
REHQMUEKF0D5W,5,29,29,N,
R3CKBYZF30HN8S,5,17,20,N,
RPYTXHK3PX5CR,5,23,23,N,
R1OPRDB8GIMXKO,5,21,28,N,
R1RUUFIZ8RFAEZ,5,130,138,N,
RFDGOHL1CIADD,5,33,34,N,
R1JSVSUVR18JB2,1,22,24,N,
R3BOHLPP5N6G70,2,25,27,N,
RFODLO0A6Q885,2,28,30,N,
RRGHDVNGLT086,3,21,21,N,
R3MXPKGRB27M7G,3,21,22,N,
R1ISXQN7QJDWPO,1,31,31,N,
RXCPQXKA6OZSW,5,32,35,N,
R1DFISXLOVUHUE,5,33,34,N,
R3MSX4RGTQXJI8,5,174,184,N,
R2LZKVHHEQ6Z00,1,21,26,N,
R3MSCP6X31LUYU,1,19,23,N,
R1T4KECBFMB24Z,5,33,34,N,
RSM72O7C1GY6F,1,20,26,N,
RAPTWRAUZUQRM,1,20,22,N,
R2HQFJJHJZXC1W,5,84,96,N,
R1IRZL8X3WN2HW,3,31,32,N,
RQAHDP1B21N2U,5,24,26,N,
R1AIBTEPY6Q6V4,5,259,317,N,
R2XFFW3ZAVJ1XN,5,21,21,N,
R28PS9MPAQ71WO,5,46,52,N,
R2OOE0E94X9AHC,4,165,173,N,
ROZLHNP7Y5ARZ,4,34,34,N,
R21D1V5CYL8CG8,3,26,28,N,
ROIGS0MP4MPWD,3,15,20,N,
R22M9UZ5S92D6D,5,37,37,N,
R26B2XO8M1SYM9,1,94,119,N,
R2468SNX0Q5C26,5,19,22,N,
R1FV183D5L7NPI,2,50,57,N,
RQES5ONQIBC4F,1,53,57,N,
R3M7F1DH9HK566,2,189,204,N,
R3OUU2SXOT5LPM,1,41,41,N,
R1RRV8NJZ7BE5E,5,24,27,N,
R1UZP8YBWW837Q,1,26,30,N,
R3TTSTYH67RD6F,5,112,116,N,
R4FX2E7X5363H,5,25,27,N,
R12Y4G8F8NKGEM,4,22,22,N,
R1RKY4R4WOXL7B,4,418,427,N,
